关卡ID,关卡名称,宝箱需要时间,每秒产出金币,每秒产出经验,需要战力,怪物模型队列,宝箱奖励ID队列,宝箱奖励权重队列,加速宝箱奖励ID队列,加速宝箱奖励权重队列,事件ID队列,图标ID,Layer1,Layer2,Layer3,Layer4,背景顶部颜色,背景底部颜色,装饰物ID_1,装饰物ID_2,装饰物ID_3,装饰物ID_4,场景ID,关卡描述,事件总时间
77,漩涡激流,900,222,240,3690000,1154;1059;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41582;41583;41584;41585;41586;41587;41588;41589;41590;41591;41592;41593;41594;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591;40592;40593;40594,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41582;41583;41584;41585;41586;41587;41588;41589;41590;41591;41592;41593;41594;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591;40592;40593;40594,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,229;230;231,3080,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3080,漩涡激流描述内容,3660
78,大漩涡,900,224,243,3822000,1152;1128;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41582;41583;41584;41585;41586;41587;41588;41589;41590;41591;41592;41593;41594;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591;40592;40593;40594,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41582;41583;41584;41585;41586;41587;41588;41589;41590;41591;41592;41593;41594;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591;40592;40593;40594,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,232;233;234,3080,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3080,大漩涡描述内容,3660
79,神启航线,900,227,248,3975000,1154;1059;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41582;41583;41584;41585;41586;41587;41588;41589;41590;41591;41592;41593;41594;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591;40592;40593;40594,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41582;41583;41584;41585;41586;41587;41588;41589;41590;41591;41592;41593;41594;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591;40592;40593;40594,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,235;236;237,3081,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3081,神启航线描述内容,3660
80,迷雾之海,900,230,250,4100000,1152;1128;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41582;41583;41584;41585;41586;41587;41588;41589;41590;41591;41592;41593;41594;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591;40592;40593;40594,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41582;41583;41584;41585;41586;41587;41588;41589;41590;41591;41592;41593;41594;40582;40583;40584;40585;40586;40587;40588;40589;40590;40591;40592;40593;40594,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;250;250;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225;1225,238;239;240,3080,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,3080,迷雾之海描述内容,3660
81,迷雾荒岛,900,233,252,4232000,1154;1059;1127,42401;42402;42403;42404;42405;42406;42412;42414;42415;42521;42522;42535;42533;42516;42528;41585;41586;41587;41588;41589;41590;41591;41592;41593;41594;41595;41596;41597;40585;40586;40587;40588;40589;40590;40591;40592;40593;40594;40595;40596;40597,1041;1041;1041;1000;1000;1000;2333;2333;2333;1875;1875;1875;1875;937;937;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057,42401;42402;42403;42404;42405;42406;42412;42414;42415;42521;42522;42535;42533;42516;42528;41585;41586;41587;41588;41589;41590;41591;41592;41593;41594;41595;41596;41597;40585;40586;40587;40588;40589;40590;40591;40592;40593;40594;40595;40596;40597,3124;3124;3124;1000;1000;1000;2333;2333;2333;1875;1875;1875;1875;937;937;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057;1057,241;242;243,3080,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,10980,迷雾之海描述内容,10980
82,禁区,900,236,254,4362000,1152;1128;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41585;41586;41587;41588;41589;41590;41591;41592;41593;41594;41595;41596;41597;40585;40586;40587;40588;40589;40590;40591;40592;40593;40594;40595;40596;40597,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41585;41586;41587;41588;41589;41590;41591;41592;41593;41594;41595;41596;41597;40585;40586;40587;40588;40589;40590;40591;40592;40593;40594;40595;40596;40597,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,244;245;246,3082,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,10980,迷雾之海描述内容,10980
83,苍穹之海,900,239,256,4487000,1154;1059;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41585;41586;41587;41588;41589;41590;41591;41592;41593;41594;41595;41596;41597;40585;40586;40587;40588;40589;40590;40591;40592;40593;40594;40595;40596;40597,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41585;41586;41587;41588;41589;41590;41591;41592;41593;41594;41595;41596;41597;40585;40586;40587;40588;40589;40590;40591;40592;40593;40594;40595;40596;40597,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,247;248;249,3070,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,10980,迷雾之海描述内容,10980
84,苍穹瀑布,900,242,258,4619000,1152;1128;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41585;41586;41587;41588;41589;41590;41591;41592;41593;41594;41595;41596;41597;40585;40586;40587;40588;40589;40590;40591;40592;40593;40594;40595;40596;40597,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41585;41586;41587;41588;41589;41590;41591;41592;41593;41594;41595;41596;41597;40585;40586;40587;40588;40589;40590;40591;40592;40593;40594;40595;40596;40597,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,250;251;252,3080,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,10980,迷雾之海描述内容,10980
85,天幕之境,900,245,260,4749000,1154;1059;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41588;41589;41590;41591;41592;41593;41594;41595;41596;41597;41598;41599;41600;40588;40589;40590;40591;40592;40593;40594;40595;40596;40597;40598;40599;40600,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41588;41589;41590;41591;41592;41593;41594;41595;41596;41597;41598;41599;41600;40588;40589;40590;40591;40592;40593;40594;40595;40596;40597;40598;40599;40600,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,253;254;255,3081,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,10980,迷雾之海描述内容,10980
86,天幕荒原,900,248,262,4874000,1152;1128;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41588;41589;41590;41591;41592;41593;41594;41595;41596;41597;41598;41599;41600;40588;40589;40590;40591;40592;40593;40594;40595;40596;40597;40598;40599;40600,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41588;41589;41590;41591;41592;41593;41594;41595;41596;41597;41598;41599;41600;40588;40589;40590;40591;40592;40593;40594;40595;40596;40597;40598;40599;40600,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,256;257;258,3040,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,10980,迷雾之海描述内容,10980
87,天幕废墟,900,251,264,4966000,1154;1059;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41588;41589;41590;41591;41592;41593;41594;41595;41596;41597;41598;41599;41600;40588;40589;40590;40591;40592;40593;40594;40595;40596;40597;40598;40599;40600,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41588;41589;41590;41591;41592;41593;41594;41595;41596;41597;41598;41599;41600;40588;40589;40590;40591;40592;40593;40594;40595;40596;40597;40598;40599;40600,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,259;260;261,3070,0,3002,3003,3004,#92d2f6,#ffffff,3005,3006,3007,3008,10980,迷雾之海描述内容,10980
88,失落之城,900,254,266,5086000,1152;1128;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41588;41589;41590;41591;41592;41593;41594;41595;41596;41597;41598;41599;41600;40588;40589;40590;40591;40592;40593;40594;40595;40596;40597;40598;40599;40600,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41588;41589;41590;41591;41592;41593;41594;41595;41596;41597;41598;41599;41600;40588;40589;40590;40591;40592;40593;40594;40595;40596;40597;40598;40599;40600,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,262;263;264,3081,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,10980,迷雾之海描述内容,10980
89,防御矩阵,900,257,268,5206000,1154;1059;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41591;41592;41593;41594;41595;41596;41597;41598;41599;41600;41601;41602;41603;40591;40592;40593;40594;40595;40596;40597;40598;40599;40600;40601;40602;40603,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41591;41592;41593;41594;41595;41596;41597;41598;41599;41600;41601;41602;41603;40591;40592;40593;40594;40595;40596;40597;40598;40599;40600;40601;40602;40603,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,265;266;267,3080,0,0,3043,3044,#1a384a,#529c9b,3045,3046,3047,3048,10980,迷雾之海描述内容,10980
90,护城河道,900,260,270,5326000,1152;1128;1127,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41591;41592;41593;41594;41595;41596;41597;41598;41599;41600;41601;41602;41603;40591;40592;40593;40594;40595;40596;40597;40598;40599;40600;40601;40602;40603,1041;1041;1041;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,42401;42402;42403;42412;42414;42415;42521;42522;42535;42533;42516;42528;41591;41592;41593;41594;41595;41596;41597;41598;41599;41600;41601;41602;41603;40591;40592;40593;40594;40595;40596;40597;40598;40599;40600;40601;40602;40603,3124;3124;3124;2333;2333;2333;1875;1875;1875;1875;937;937;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173;1173,268;269;270,3020,0,3022,3023,3024,#7c1d1f,#d9632b,3025,3026,3027,3028,10980,迷雾之海描述内容,10980
